starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:12 2018	1525704132	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
Mon May 07 16:42:13 2018	1525704133	0	1	1	1
