starttime	seconds	ctime	dtime	ttime	wait
Mon Feb 19 17:16:55 2018	1519057015	1	1	2	1
Mon Feb 19 17:16:28 2018	1519056988	1	1	2	1
Mon Feb 19 17:16:40 2018	1519057000	1	1	2	1
Mon Feb 19 17:16:25 2018	1519056985	1	1	2	1
Mon Feb 19 17:16:41 2018	1519057001	1	1	2	1
Mon Feb 19 17:16:41 2018	1519057001	1	1	2	1
Mon Feb 19 17:16:40 2018	1519057000	1	1	2	1
Mon Feb 19 17:16:34 2018	1519056994	1	1	2	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	2	2
Mon Feb 19 17:16:51 2018	1519057011	1	1	2	1
Mon Feb 19 17:16:32 2018	1519056992	1	1	2	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	2	2
Mon Feb 19 17:16:45 2018	1519057005	1	1	2	1
Mon Feb 19 17:16:45 2018	1519057005	1	2	2	1
Mon Feb 19 17:16:41 2018	1519057001	1	1	2	1
Mon Feb 19 17:16:45 2018	1519057005	1	1	2	1
Mon Feb 19 17:16:45 2018	1519057005	1	1	2	1
Mon Feb 19 17:16:55 2018	1519057015	1	1	2	1
Mon Feb 19 17:16:48 2018	1519057008	1	2	2	2
Mon Feb 19 17:16:44 2018	1519057004	1	1	2	1
Mon Feb 19 17:16:24 2018	1519056984	1	2	2	2
Mon Feb 19 17:16:28 2018	1519056988	1	1	2	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	2	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	2	1
Mon Feb 19 17:16:25 2018	1519056985	1	2	2	2
Mon Feb 19 17:16:51 2018	1519057011	1	1	2	1
Mon Feb 19 17:16:39 2018	1519056999	1	1	2	1
Mon Feb 19 17:16:55 2018	1519057015	1	1	2	1
Mon Feb 19 17:16:40 2018	1519057000	1	1	2	1
Mon Feb 19 17:16:28 2018	1519056988	1	1	2	1
Mon Feb 19 17:16:32 2018	1519056992	1	1	3	1
Mon Feb 19 17:16:41 2018	1519057001	1	1	3	1
Mon Feb 19 17:16:40 2018	1519057000	1	1	3	1
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	1	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	1
Mon Feb 19 17:16:39 2018	1519056999	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	1	3	1
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	1	3	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	1	3	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	1
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	1
Mon Feb 19 17:16:25 2018	1519056985	1	1	3	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:40 2018	1519057000	1	1	3	1
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	1	3	1
Mon Feb 19 17:16:44 2018	1519057004	1	1	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	1
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	1	3	1
Mon Feb 19 17:16:40 2018	1519057000	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:27 2018	1519056987	1	1	3	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	1	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:26 2018	1519056986	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	1	3	1
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	1	3	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	1	3	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	1	3	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:23 2018	1519056983	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:40 2018	1519057000	1	1	3	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	1	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	1
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	1
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	2	1	3	1
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:30 2018	1519056990	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:33 2018	1519056993	1	2	3	2
Mon Feb 19 17:16:44 2018	1519057004	1	1	3	1
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	1
Mon Feb 19 17:16:23 2018	1519056983	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:44 2018	1519057004	1	2	3	2
Mon Feb 19 17:16:23 2018	1519056983	2	1	3	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	1
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:30 2018	1519056990	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	1
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:44 2018	1519057004	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:44 2018	1519057004	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	2	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:43 2018	1519057003	2	1	3	1
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	2	1	3	1
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	2	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:39 2018	1519056999	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:47 2018	1519057007	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	1
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:47 2018	1519057007	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	2	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:40 2018	1519057000	1	2	3	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:26 2018	1519056986	2	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:34 2018	1519056994	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:44 2018	1519057004	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	2	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	2	2	3	1
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	2	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	2	2	3	2
Mon Feb 19 17:16:26 2018	1519056986	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	2	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:39 2018	1519056999	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	2	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	1
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:40 2018	1519057000	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:26 2018	1519056986	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:23 2018	1519056983	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:23 2018	1519056983	2	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:44 2018	1519057004	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:40 2018	1519057000	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:23 2018	1519056983	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:40 2018	1519057000	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	3	3	3
Mon Feb 19 17:16:23 2018	1519056983	2	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:23 2018	1519056983	2	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:44 2018	1519057004	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:26 2018	1519056986	2	2	3	2
Mon Feb 19 17:16:39 2018	1519056999	2	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	2	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:23 2018	1519056983	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	2	2	3	1
Mon Feb 19 17:16:23 2018	1519056983	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:49 2018	1519057009	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:41 2018	1519057001	2	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:42 2018	1519057002	2	1	3	1
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:55 2018	1519057015	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	2	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	2	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	2	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	2	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	2	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:21 2018	1519056981	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:46 2018	1519057006	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	2	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	1	2	3	2
Mon Feb 19 17:16:35 2018	1519056995	2	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	1	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:24 2018	1519056984	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	2	2	3	1
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	2	2	3	2
Mon Feb 19 17:16:52 2018	1519057012	1	2	3	2
Mon Feb 19 17:16:25 2018	1519056985	2	2	3	2
Mon Feb 19 17:16:32 2018	1519056992	1	2	3	2
Mon Feb 19 17:16:31 2018	1519056991	1	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:51 2018	1519057011	2	1	3	1
Mon Feb 19 17:16:21 2018	1519056981	2	2	3	2
Mon Feb 19 17:16:36 2018	1519056996	1	2	3	2
Mon Feb 19 17:16:48 2018	1519057008	1	2	3	2
Mon Feb 19 17:16:26 2018	1519056986	2	2	3	2
Mon Feb 19 17:16:38 2018	1519056998	2	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	2	2	3	2
Mon Feb 19 17:16:28 2018	1519056988	1	2	3	2
Mon Feb 19 17:16:45 2018	1519057005	2	2	3	2
